Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
can556,0.835,0.9084,High Influence,Tagged Variant,"Displays as: ""can556"""
around762,0.8805,0.6978,High Influence,Tagged Variant,"Displays as: ""around762"""
behind530,0.872,0.6077,High Influence,Tagged Variant,"Displays as: ""behind530"""
basis13,0.7633,0.3471,Peripheral,Tagged Variant,"Displays as: ""basis13"""
ahead548,0.6062,0.6253,Peripheral,Tagged Variant,"Displays as: ""ahead548"""
accident724,0.8332,0.8745,High Influence,Tagged Variant,"Displays as: ""accident724"""
cancel147,0.7012,0.7302,Peripheral,Tagged Variant,"Displays as: ""cancel147"""
break_9258,0.7801,0.8825,High Recall,Tagged Variant,"Displays as: ""break_9258"""
capital154,0.983,0.6458,High Influence,Tagged Variant,"Displays as: ""capital154"""
ahead868,0.7596,0.3829,Peripheral,Tagged Variant,"Displays as: ""ahead868"""
again943,0.9359,0.3095,High Influence,Tagged Variant,"Displays as: ""again943"""
article_6034,0.6754,0.5123,Peripheral,Tagged Variant,"Displays as: ""article_6034"""
balance_1868,0.869,0.7886,High Influence,Tagged Variant,"Displays as: ""balance_1868"""
article796,0.9908,0.8532,Core Anchor,Tagged Variant,"Displays as: ""article796"""
add876,0.6408,0.507,Peripheral,Tagged Variant,"Displays as: ""add876"""
attitude810,0.6033,0.647,Peripheral,Tagged Variant,"Displays as: ""attitude810"""
admit_8927,0.7734,0.5948,Peripheral,Tagged Variant,"Displays as: ""admit_8927"""
admin159,0.6371,0.5874,Peripheral,Tagged Variant,"Displays as: ""admin159"""
accident_8336,0.8994,0.4619,High Influence,Tagged Variant,"Displays as: ""accident_8336"""
base_9053,0.9658,0.3955,High Influence,Tagged Variant,"Displays as: ""base_9053"""
always780,0.7736,0.4377,Peripheral,Tagged Variant,"Displays as: ""always780"""
before_9114,0.7035,0.3387,Peripheral,Tagged Variant,"Displays as: ""before_9114"""
better_6317,0.7738,0.4387,Peripheral,Tagged Variant,"Displays as: ""better_6317"""
appear_7402,0.8894,0.3064,High Influence,Tagged Variant,"Displays as: ""appear_7402"""
camera193,0.6036,0.7391,Peripheral,Tagged Variant,"Displays as: ""camera193"""
again_7658,0.8358,0.5215,High Influence,Tagged Variant,"Displays as: ""again_7658"""
aspect_1615,0.8453,0.9812,High Influence,Tagged Variant,"Displays as: ""aspect_1615"""
basic_3171,0.8551,0.4356,High Influence,Tagged Variant,"Displays as: ""basic_3171"""
always41,0.6968,0.5421,Peripheral,Tagged Variant,"Displays as: ""always41"""
buy_3090,0.8856,0.5505,High Influence,Tagged Variant,"Displays as: ""buy_3090"""
believe25,0.6366,0.3059,Peripheral,Tagged Variant,"Displays as: ""believe25"""
above_3718,0.6797,0.8874,High Recall,Tagged Variant,"Displays as: ""above_3718"""
aware_5815,0.951,0.3224,High Influence,Tagged Variant,"Displays as: ""aware_5815"""
actual_9313,0.8955,0.9581,High Influence,Tagged Variant,"Displays as: ""actual_9313"""
article_9263,0.6055,0.9245,High Recall,Tagged Variant,"Displays as: ""article_9263"""
author_7031,0.6994,0.6749,Peripheral,Tagged Variant,"Displays as: ""author_7031"""
anger181,0.6858,0.6805,Peripheral,Tagged Variant,"Displays as: ""anger181"""
campaign_1011,0.7083,0.7576,Peripheral,Tagged Variant,"Displays as: ""campaign_1011"""
can429,0.699,0.5709,Peripheral,Tagged Variant,"Displays as: ""can429"""
active628,0.625,0.7531,Peripheral,Tagged Variant,"Displays as: ""active628"""
after_6756,0.7836,0.3313,Peripheral,Tagged Variant,"Displays as: ""after_6756"""
carry405,0.8931,0.3378,High Influence,Tagged Variant,"Displays as: ""carry405"""
art883,0.8427,0.6201,High Influence,Tagged Variant,"Displays as: ""art883"""
active415,0.8691,0.6847,High Influence,Tagged Variant,"Displays as: ""active415"""
arrive886,0.6325,0.9215,High Recall,Tagged Variant,"Displays as: ""arrive886"""
access53,0.9806,0.3733,High Influence,Tagged Variant,"Displays as: ""access53"""
base_7321,0.9354,0.8759,Core Anchor,Tagged Variant,"Displays as: ""base_7321"""
account283,0.922,0.447,High Influence,Tagged Variant,"Displays as: ""account283"""
capital_8414,0.9292,0.5759,High Influence,Tagged Variant,"Displays as: ""capital_8414"""
also_2005,0.9731,0.5216,High Influence,Tagged Variant,"Displays as: ""also_2005"""
body_3707,0.8177,0.5801,High Influence,Tagged Variant,"Displays as: ""body_3707"""
car475,0.6801,0.4053,Peripheral,Tagged Variant,"Displays as: ""car475"""
case_6167,0.8467,0.6525,High Influence,Tagged Variant,"Displays as: ""case_6167"""
call_2000,0.8972,0.8611,High Influence,Tagged Variant,"Displays as: ""call_2000"""
although489,0.8952,0.6091,High Influence,Tagged Variant,"Displays as: ""although489"""
call_2074,0.8086,0.6434,High Influence,Tagged Variant,"Displays as: ""call_2074"""
admin_6031,0.6274,0.8941,High Recall,Tagged Variant,"Displays as: ""admin_6031"""
beyond_6011,0.7484,0.7942,Peripheral,Tagged Variant,"Displays as: ""beyond_6011"""
about887,0.9683,0.6433,High Influence,Tagged Variant,"Displays as: ""about887"""
between552,0.8338,0.4804,High Influence,Tagged Variant,"Displays as: ""between552"""
between84,0.8153,0.9194,High Influence,Tagged Variant,"Displays as: ""between84"""
available_6355,0.7075,0.7039,Peripheral,Tagged Variant,"Displays as: ""available_6355"""
budget_8581,0.7474,0.4548,Peripheral,Tagged Variant,"Displays as: ""budget_8581"""
black_2846,0.9581,0.4884,High Influence,Tagged Variant,"Displays as: ""black_2846"""
also382,0.8666,0.8622,High Influence,Tagged Variant,"Displays as: ""also382"""
active_5601,0.915,0.3309,High Influence,Tagged Variant,"Displays as: ""active_5601"""
appear153,0.7817,0.9945,High Recall,Tagged Variant,"Displays as: ""appear153"""
arrive83,0.8521,0.3912,High Influence,Tagged Variant,"Displays as: ""arrive83"""
business_2190,0.6994,0.8572,High Recall,Tagged Variant,"Displays as: ""business_2190"""
arrive_7166,0.8822,0.5763,High Influence,Tagged Variant,"Displays as: ""arrive_7166"""
against_9379,0.771,0.6446,Peripheral,Tagged Variant,"Displays as: ""against_9379"""
book_1382,0.777,0.9165,High Recall,Tagged Variant,"Displays as: ""book_1382"""
button991,0.8597,0.589,High Influence,Tagged Variant,"Displays as: ""button991"""
answer_8277,0.9745,0.6762,High Influence,Tagged Variant,"Displays as: ""answer_8277"""
ability953,0.6256,0.3345,Peripheral,Tagged Variant,"Displays as: ""ability953"""
build_1444,0.9299,0.3016,High Influence,Tagged Variant,"Displays as: ""build_1444"""
busy_7359,0.717,0.4714,Peripheral,Tagged Variant,"Displays as: ""busy_7359"""
both149,0.7776,0.7764,Peripheral,Tagged Variant,"Displays as: ""both149"""
amount_2589,0.6088,0.3849,Peripheral,Tagged Variant,"Displays as: ""amount_2589"""
almost_4604,0.7204,0.3796,Peripheral,Tagged Variant,"Displays as: ""almost_4604"""
block_6320,0.8011,0.5877,High Influence,Tagged Variant,"Displays as: ""block_6320"""
cancel109,0.6225,0.7535,Peripheral,Tagged Variant,"Displays as: ""cancel109"""
answer_7517,0.7964,0.7985,Peripheral,Tagged Variant,"Displays as: ""answer_7517"""
away904,0.9708,0.4249,High Influence,Tagged Variant,"Displays as: ""away904"""
best945,0.6422,0.3557,Peripheral,Tagged Variant,"Displays as: ""best945"""
beauty_6143,0.9058,0.9583,Core Anchor,Tagged Variant,"Displays as: ""beauty_6143"""
anger_8700,0.7639,0.4825,Peripheral,Tagged Variant,"Displays as: ""anger_8700"""
although_7661,0.8621,0.8973,High Influence,Tagged Variant,"Displays as: ""although_7661"""
beyond_4828,0.7041,0.9044,High Recall,Tagged Variant,"Displays as: ""beyond_4828"""
add_8992,0.6638,0.8408,High Recall,Tagged Variant,"Displays as: ""add_8992"""
binary_7914,0.6642,0.4182,Peripheral,Tagged Variant,"Displays as: ""binary_7914"""
adult_8857,0.6282,0.8753,High Recall,Tagged Variant,"Displays as: ""adult_8857"""
career728,0.6743,0.8385,High Recall,Tagged Variant,"Displays as: ""career728"""
capital_6202,0.8657,0.7177,High Influence,Tagged Variant,"Displays as: ""capital_6202"""
another925,0.9527,0.536,High Influence,Tagged Variant,"Displays as: ""another925"""
actually_6953,0.9257,0.4838,High Influence,Tagged Variant,"Displays as: ""actually_6953"""
busy_4429,0.8741,0.3853,High Influence,Tagged Variant,"Displays as: ""busy_4429"""
binary303,0.6442,0.6568,Peripheral,Tagged Variant,"Displays as: ""binary303"""
amazing876,0.7157,0.7097,Peripheral,Tagged Variant,"Displays as: ""amazing876"""
available289,0.7239,0.5515,Peripheral,Tagged Variant,"Displays as: ""available289"""
agency_7285,0.7,0.6328,Peripheral,Tagged Variant,"Displays as: ""agency_7285"""
border293,0.806,0.5545,High Influence,Tagged Variant,"Displays as: ""border293"""
break_1395,0.8142,0.7487,High Influence,Tagged Variant,"Displays as: ""break_1395"""
area_6215,0.7428,0.9309,High Recall,Tagged Variant,"Displays as: ""area_6215"""
admin827,0.7415,0.4147,Peripheral,Tagged Variant,"Displays as: ""admin827"""
against_1050,0.9314,0.567,High Influence,Tagged Variant,"Displays as: ""against_1050"""
block_3436,0.9157,0.3986,High Influence,Tagged Variant,"Displays as: ""block_3436"""
assume448,0.7231,0.7375,Peripheral,Tagged Variant,"Displays as: ""assume448"""
anything772,0.9655,0.8102,Core Anchor,Tagged Variant,"Displays as: ""anything772"""
above865,0.9811,0.9523,Core Anchor,Tagged Variant,"Displays as: ""above865"""
box_9945,0.7307,0.4952,Peripheral,Tagged Variant,"Displays as: ""box_9945"""
boy674,0.7418,0.9651,High Recall,Tagged Variant,"Displays as: ""boy674"""
art688,0.8023,0.3443,High Influence,Tagged Variant,"Displays as: ""art688"""
attitude32,0.9764,0.7221,High Influence,Tagged Variant,"Displays as: ""attitude32"""
around136,0.9505,0.34,High Influence,Tagged Variant,"Displays as: ""around136"""
approach_7604,0.641,0.9256,High Recall,Tagged Variant,"Displays as: ""approach_7604"""
border160,0.7571,0.6709,Peripheral,Tagged Variant,"Displays as: ""border160"""
also486,0.8213,0.7685,High Influence,Tagged Variant,"Displays as: ""also486"""
above121,0.8013,0.8821,High Influence,Tagged Variant,"Displays as: ""above121"""
blue_5282,0.6775,0.4052,Peripheral,Tagged Variant,"Displays as: ""blue_5282"""
actual329,0.9435,0.327,High Influence,Tagged Variant,"Displays as: ""actual329"""
area_5750,0.8708,0.9152,High Influence,Tagged Variant,"Displays as: ""area_5750"""
across682,0.9352,0.5205,High Influence,Tagged Variant,"Displays as: ""across682"""
above129,0.9435,0.3903,High Influence,Tagged Variant,"Displays as: ""above129"""
burn_7541,0.8993,0.6279,High Influence,Tagged Variant,"Displays as: ""burn_7541"""
attention_9818,0.7757,0.7188,Peripheral,Tagged Variant,"Displays as: ""attention_9818"""
analysis587,0.8442,0.3217,High Influence,Tagged Variant,"Displays as: ""analysis587"""
attempt40,0.6641,0.4924,Peripheral,Tagged Variant,"Displays as: ""attempt40"""
answer629,0.8695,0.323,High Influence,Tagged Variant,"Displays as: ""answer629"""
about_1218,0.6717,0.5942,Peripheral,Tagged Variant,"Displays as: ""about_1218"""
bad_3877,0.8776,0.9266,High Influence,Tagged Variant,"Displays as: ""bad_3877"""
already_9229,0.6918,0.9879,High Recall,Tagged Variant,"Displays as: ""already_9229"""
behavior_7048,0.647,0.7459,Peripheral,Tagged Variant,"Displays as: ""behavior_7048"""
above_4035,0.6661,0.4131,Peripheral,Tagged Variant,"Displays as: ""above_4035"""
basic584,0.6008,0.9341,High Recall,Tagged Variant,"Displays as: ""basic584"""
admit684,0.8875,0.6614,High Influence,Tagged Variant,"Displays as: ""admit684"""
after_1805,0.893,0.4076,High Influence,Tagged Variant,"Displays as: ""after_1805"""
become_4769,0.806,0.9452,High Influence,Tagged Variant,"Displays as: ""become_4769"""
analysis_4917,0.6645,0.8302,High Recall,Tagged Variant,"Displays as: ""analysis_4917"""
area_7559,0.6334,0.8122,High Recall,Tagged Variant,"Displays as: ""area_7559"""
appear_1852,0.6077,0.7964,Peripheral,Tagged Variant,"Displays as: ""appear_1852"""
address_9147,0.6663,0.4402,Peripheral,Tagged Variant,"Displays as: ""address_9147"""
attack236,0.9563,0.4477,High Influence,Tagged Variant,"Displays as: ""attack236"""
attention485,0.6966,0.7818,Peripheral,Tagged Variant,"Displays as: ""attention485"""
because_3434,0.7417,0.4538,Peripheral,Tagged Variant,"Displays as: ""because_3434"""
awesome803,0.6421,0.6071,Peripheral,Tagged Variant,"Displays as: ""awesome803"""
access689,0.6889,0.8474,High Recall,Tagged Variant,"Displays as: ""access689"""
believe_1997,0.8077,0.8488,High Influence,Tagged Variant,"Displays as: ""believe_1997"""
between591,0.8431,0.6173,High Influence,Tagged Variant,"Displays as: ""between591"""
break_3033,0.6981,0.8545,High Recall,Tagged Variant,"Displays as: ""break_3033"""
already_3805,0.6231,0.887,High Recall,Tagged Variant,"Displays as: ""already_3805"""
area_6101,0.7564,0.7583,Peripheral,Tagged Variant,"Displays as: ""area_6101"""
begin_9039,0.6937,0.4599,Peripheral,Tagged Variant,"Displays as: ""begin_9039"""
cancel840,0.6878,0.4918,Peripheral,Tagged Variant,"Displays as: ""cancel840"""
agree_4554,0.9839,0.5204,High Influence,Tagged Variant,"Displays as: ""agree_4554"""
art_5927,0.8465,0.3818,High Influence,Tagged Variant,"Displays as: ""art_5927"""
build_8153,0.8228,0.4912,High Influence,Tagged Variant,"Displays as: ""build_8153"""
already_5784,0.7663,0.4467,Peripheral,Tagged Variant,"Displays as: ""already_5784"""
background_7081,0.7716,0.6187,Peripheral,Tagged Variant,"Displays as: ""background_7081"""
ability63,0.8164,0.9359,High Influence,Tagged Variant,"Displays as: ""ability63"""
basis_9140,0.8786,0.3731,High Influence,Tagged Variant,"Displays as: ""basis_9140"""
bad562,0.8809,0.8042,High Influence,Tagged Variant,"Displays as: ""bad562"""
although_1292,0.6687,0.7811,Peripheral,Tagged Variant,"Displays as: ""although_1292"""
analysis_1700,0.8,0.367,Peripheral,Tagged Variant,"Displays as: ""analysis_1700"""
can_5730,0.7648,0.9458,High Recall,Tagged Variant,"Displays as: ""can_5730"""
both_8646,0.9482,0.6979,High Influence,Tagged Variant,"Displays as: ""both_8646"""
attitude977,0.8526,0.5546,High Influence,Tagged Variant,"Displays as: ""attitude977"""
between_2587,0.813,0.8296,High Influence,Tagged Variant,"Displays as: ""between_2587"""
basis_7758,0.6462,0.4802,Peripheral,Tagged Variant,"Displays as: ""basis_7758"""
aware_4171,0.8423,0.7855,High Influence,Tagged Variant,"Displays as: ""aware_4171"""
campaign_3016,0.6469,0.3278,Peripheral,Tagged Variant,"Displays as: ""campaign_3016"""
burn_2593,0.7349,0.8876,High Recall,Tagged Variant,"Displays as: ""burn_2593"""
balance507,0.6571,0.6137,Peripheral,Tagged Variant,"Displays as: ""balance507"""
blue936,0.8768,0.7457,High Influence,Tagged Variant,"Displays as: ""blue936"""
blue729,0.6825,0.4549,Peripheral,Tagged Variant,"Displays as: ""blue729"""
basis508,0.7567,0.774,Peripheral,Tagged Variant,"Displays as: ""basis508"""
book_6069,0.9583,0.8406,Core Anchor,Tagged Variant,"Displays as: ""book_6069"""
also792,0.6817,0.6312,Peripheral,Tagged Variant,"Displays as: ""also792"""
case718,0.8031,0.7324,High Influence,Tagged Variant,"Displays as: ""case718"""
beauty887,0.7677,0.6194,Peripheral,Tagged Variant,"Displays as: ""beauty887"""
border25,0.6072,0.9259,High Recall,Tagged Variant,"Displays as: ""border25"""
ability670,0.9171,0.6485,High Influence,Tagged Variant,"Displays as: ""ability670"""
adult213,0.6276,0.8893,High Recall,Tagged Variant,"Displays as: ""adult213"""
available780,0.7897,0.8609,High Recall,Tagged Variant,"Displays as: ""available780"""
approach135,0.8243,0.5874,High Influence,Tagged Variant,"Displays as: ""approach135"""
another_5723,0.8514,0.4611,High Influence,Tagged Variant,"Displays as: ""another_5723"""
both_5196,0.8755,0.5843,High Influence,Tagged Variant,"Displays as: ""both_5196"""
almost535,0.7013,0.8784,High Recall,Tagged Variant,"Displays as: ""almost535"""
appear237,0.604,0.4593,Peripheral,Tagged Variant,"Displays as: ""appear237"""
basic654,0.8894,0.6671,High Influence,Tagged Variant,"Displays as: ""basic654"""
anger633,0.8143,0.8643,High Influence,Tagged Variant,"Displays as: ""anger633"""
boy641,0.9344,0.5474,High Influence,Tagged Variant,"Displays as: ""boy641"""
building_6990,0.9286,0.7495,High Influence,Tagged Variant,"Displays as: ""building_6990"""
always_5671,0.9373,0.4719,High Influence,Tagged Variant,"Displays as: ""always_5671"""
beauty_2349,0.794,0.3765,Peripheral,Tagged Variant,"Displays as: ""beauty_2349"""
admit834,0.7335,0.8561,High Recall,Tagged Variant,"Displays as: ""admit834"""
best410,0.9166,0.3693,High Influence,Tagged Variant,"Displays as: ""best410"""
arrive218,0.7805,0.49,Peripheral,Tagged Variant,"Displays as: ""arrive218"""
button_1005,0.6734,0.8986,High Recall,Tagged Variant,"Displays as: ""button_1005"""
black_8125,0.942,0.5425,High Influence,Tagged Variant,"Displays as: ""black_8125"""
behavior769,0.953,0.9811,Core Anchor,Tagged Variant,"Displays as: ""behavior769"""
address_9331,0.7865,0.9858,High Recall,Tagged Variant,"Displays as: ""address_9331"""
avoid495,0.6303,0.4878,Peripheral,Tagged Variant,"Displays as: ""avoid495"""
although441,0.7551,0.3287,Peripheral,Tagged Variant,"Displays as: ""although441"""
between746,0.9214,0.7935,High Influence,Tagged Variant,"Displays as: ""between746"""
bring302,0.9607,0.6157,High Influence,Tagged Variant,"Displays as: ""bring302"""
almost618,0.6814,0.3705,Peripheral,Tagged Variant,"Displays as: ""almost618"""
burn397,0.6268,0.7953,Peripheral,Tagged Variant,"Displays as: ""burn397"""
box336,0.9509,0.3218,High Influence,Tagged Variant,"Displays as: ""box336"""
anything_7235,0.7558,0.9091,High Recall,Tagged Variant,"Displays as: ""anything_7235"""
assume547,0.8167,0.3971,High Influence,Tagged Variant,"Displays as: ""assume547"""
ability258,0.9872,0.3891,High Influence,Tagged Variant,"Displays as: ""ability258"""
agent_8405,0.6266,0.423,Peripheral,Tagged Variant,"Displays as: ""agent_8405"""
base468,0.8593,0.9722,High Influence,Tagged Variant,"Displays as: ""base468"""
above_4612,0.6296,0.7852,Peripheral,Tagged Variant,"Displays as: ""above_4612"""
cancel_4940,0.7502,0.861,High Recall,Tagged Variant,"Displays as: ""cancel_4940"""
call359,0.9215,0.5783,High Influence,Tagged Variant,"Displays as: ""call359"""
always_3236,0.7734,0.5354,Peripheral,Tagged Variant,"Displays as: ""always_3236"""
black219,0.9989,0.4641,High Influence,Tagged Variant,"Displays as: ""black219"""
appear412,0.8236,0.6365,High Influence,Tagged Variant,"Displays as: ""appear412"""
